FID,LANDMARKNA,STNO,STNAME,SUFFIX,OWNERSHIP,CITY,UNITID,SERVSTAT,LAT,LONG,nBaseball,nBasket,nBocce,nCricket,nIceRink,nPlaySite,nSoccer,nSoftball,nSprayPad,nTennis
292,CEREMONIAL GREEN,600,CEREMONIAL,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-307,OPEN,43.596444,-79.672821,0,0,0,0,0,1,1,1,0,0
293,NOT TO BE NAMED (P-306) *(BETWEEN BARBERTOWN AND EGLINGTON| EAST OF ROYAL MILLS CT),1750,BARBERTOWN,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-306,OPEN,43.570977,-79.693553,0,0,0,0,0,0,0,0,0,0
294,FOREST GLEN,3545,FIELDGATE,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-050,OPEN,43.625994,-79.591446,0,0,0,0,0,1,0,1,1,0
295,KENNEDY PARK,3505,GOLDEN ORCHARD,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-048,OPEN,43.61753,-79.599528,0,0,0,0,0,1,1,0,0,0
296,RATTRAY MARSH,660,BEXHILL,RD,CREDIT VALLEY CONSERVATION,MISSISSAUGA,P-126,OPEN,43.517516,-79.607516,0,0,0,0,0,0,0,0,0,0
297,DERRY GREENWAY,7044,GOREWAY,DR,JOINT OWNERSHIP,MISSISSAUGA,P-125,OPEN,43.709429,-79.639107,0,0,0,0,0,0,0,0,0,0
299,COOKSVILLE COMMON,2326,PARK TOWERS,AVE,CITY OF MISSISSAUGA,MISSISSAUGA,P-293,OPEN,43.57643,-79.606333,0,0,0,0,0,0,0,0,0,0
300,NOT TO BE NAMED (P-289) *(NE OF QEW AND WINSTON CHURCHILL),2700,CREDIT VALLEY,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-289,OPEN,43.545961,-79.711097,0,0,0,0,0,0,0,0,0,0
301,JOHN C. PALLETT PARK,4550,GLEN ERIN,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-288,OPEN,43.552209,-79.710352,0,0,0,0,0,1,2,0,0,0
302,ORCHARD HEIGHTS,1704,LINCOLNSHIRE,BLVD,CITY OF MISSISSAUGA,MISSISSAUGA,P-019,OPEN,43.602399,-79.55743,0,0,0,0,0,0,0,0,0,0
303,MUNDEN PARK,499,NORTH SERVICE,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-018,OPEN,43.579621,-79.588969,0,0,0,0,0,1,0,0,0,0
304,NOT TO BE NAMED (P-246) *(EAST OF TOMKEN RD BETWEEN AMBLER DR AND EASTGATE PKWY),1115,BREVIK,PL,CITY OF MISSISSAUGA,MISSISSAUGA,P-246,OPEN,43.63789,-79.640268,0,0,0,0,0,0,0,0,0,0
305,WILDFIELD PARK,7389,BRAMALEA,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-245,OPEN,43.691108,-79.676642,0,0,0,0,0,0,0,0,0,0
306,NOT YET NAMED (P-525) *,0,EGLINTON,AVE,CITY OF MISSISSAUGA,MISSISSAUGA,P-525,OPEN,43.603968,-79.657773,0,0,0,0,0,0,0,0,0,0
307,NOT YET NAMED (P-524)*,99,LITTLE CREEK,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-524,OPEN,43.606012,-79.658582,0,0,0,0,0,0,0,0,0,0
309,MCLEOD PARK,3860,CANDLELIGHT,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-485,OPEN,43.538876,-79.733775,0,0,0,0,0,1,0,0,0,0
310,NOT YET NAMED (P-481)* (SE OF RENA RD AND SLOUGH ST UP TO AND EAST OF DREW RD),2805,DREW,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-481,OPEN,43.707625,-79.656577,0,0,0,0,0,0,0,0,0,0
311,BETHESDA COMMON,3311,FIELDGATE,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-480,OPEN,43.622233,-79.585051,0,0,0,0,0,0,0,0,0,0
312,EASTGATE PARK,320,NAHANI,WAY,CITY OF MISSISSAUGA,MISSISSAUGA,P-257,OPEN,43.615467,-79.646866,0,0,0,0,1,1,0,1,0,0
313,TURNEY WOODS,5898,TURNEY,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-220,OPEN,43.578669,-79.729323,0,0,0,0,0,0,0,0,0,0
314,KENOLLIE PARK,292,PINETREE,WAY,CITY OF MISSISSAUGA,MISSISSAUGA,P-197,OPEN,43.56076,-79.604754,0,0,0,0,0,0,0,0,0,0
315,MILLGROVE TRAIL,6030,EDENWOOD,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-196,OPEN,43.583539,-79.770765,0,0,0,0,0,2,0,0,0,0
316,SAWMILL VALLEY TRAIL,1955,BURNHAMTHORPE,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-161,OPEN,43.548811,-79.700315,0,0,0,0,1,0,0,0,0,0
317,BROMSGROVE PARK,2299,BROMSGROVE,RD,HYDRO ONE,MISSISSAUGA,P-160,OPEN,43.503723,-79.64368,0,0,0,0,0,1,0,0,0,0
318,O'HARRA WAY,5633,NINTH LINE,,CITY OF MISSISSAUGA,MISSISSAUGA,P-419,OPEN,43.54784,-79.748127,0,0,0,0,0,0,0,0,0,0
319,MCCARRON PARK,5420,LONGFORD,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-418,OPEN,43.544433,-79.742045,0,0,0,0,0,1,0,0,0,0
320,PARKERHILL PARK,3033,PARKERHILL,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-380,OPEN,43.576129,-79.623009,0,0,0,0,0,1,0,0,0,0
321,THE VILLAGE GREEN,780,VILLAGE GREEN,BLVD,CITY OF MISSISSAUGA,MISSISSAUGA,P-379,OPEN,43.57422,-79.568593,0,0,0,0,0,1,0,0,0,0
323,ROSEBUSH COMMON,4890,CREDITVIEW,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-341,OPEN,43.575486,-79.683227,0,0,0,0,0,1,1,0,0,0
324,SANDALWOOD PARK,205,NAHANI,WAY,CITY OF MISSISSAUGA,MISSISSAUGA,P-309,OPEN,43.614514,-79.652324,0,0,0,0,0,1,1,0,0,0
325,JOHN CLEARY PARK,450,WEBB,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-308,OPEN,43.582553,-79.643786,0,0,0,0,0,1,1,0,0,0
326,WESTWOOD PARK,6941,DARCEL,AVE,CITY OF MISSISSAUGA,MISSISSAUGA,P-052,OPEN,43.72178,-79.627747,0,0,0,0,0,0,1,0,0,0
327,THORNLODGE PARK,2405,HOMELANDS,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-051,OPEN,43.525844,-79.670896,0,0,0,0,1,1,1,1,0,0
328,PINECLIFF PARK,20,PINE CLIFF,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-128,OPEN,43.60118,-79.719871,0,0,0,0,0,1,0,0,0,0
329,TIMOTHY STREET PARK,50,MAIN,ST,CITY OF MISSISSAUGA,MISSISSAUGA,P-127,OPEN,43.587439,-79.713871,0,0,0,0,0,0,0,0,0,0
330,HAWTHORNE VALLEY TRAIL,159,CEREMONIAL,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-296,OPEN,43.614414,-79.67594,0,0,0,0,0,0,0,0,0,0
331,BROWN'S HEIGHTS,1600,BRISTOL,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-295,OPEN,43.584609,-79.699645,0,0,0,0,1,1,1,0,0,0
332,TOM CHATER MEMORIAL PARK,3195,THE COLLEGEWAY,,CITY OF MISSISSAUGA,MISSISSAUGA,P-291,OPEN,43.528196,-79.700176,0,0,0,0,0,2,1,3,0,0
333,DR. MARTIN L. DOBKIN COMMUNITY PARK,395,FAIRVIEW,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-290,OPEN,43.579648,-79.635335,1,0,0,0,0,1,1,1,0,0
334,DOUGLAS KENNEDY PARK,810,LAKEFRONT PROMENADE,,CITY OF MISSISSAUGA,MISSISSAUGA,P-021,OPEN,43.57137,-79.557567,1,0,0,0,0,0,0,0,0,0
335,APPLEWOOD NORTH PARK,1280,MELTON,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-020,OPEN,43.599635,-79.576647,0,0,0,0,0,0,0,1,0,0
336,EDWARD L. SCARLETT PARK,1995,COURTNEYPARK,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-248,OPEN,43.670817,-79.653286,0,0,0,0,0,0,0,0,0,0
337,FOREST HILL PARK,4995,FOREST HILL,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-247,OPEN,43.563951,-79.702511,0,0,0,0,0,1,1,1,0,0
338,MCCRACKEN COMMUNITY PARK,5510,VELDA,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-502,OPEN,43.557698,-79.732663,0,0,0,0,0,0,0,0,0,0
339,MARINA PARK,15,FRONT,ST,CITY OF MISSISSAUGA,MISSISSAUGA,P-112,OPEN,43.550896,-79.589258,0,0,0,0,0,0,0,0,0,0
340,NOT YET NAMED (P-495)* (WEST OF SPRING RD AND WHITEOAKS AVE ALONG RAVINE DR),1201,RAVINE,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-495,OPEN,43.523616,-79.624876,0,0,0,0,0,0,0,0,0,0
341,NOT YET NAMED (P-494)* (WEST OF REXWOOD RD AND DERRY RD E),7020,REXWOOD,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-494,OPEN,43.716335,-79.628745,0,0,0,0,0,0,0,0,0,0
342,STREETSVILLE VILLAGE HALL,280,QUEEN,ST,CITY OF MISSISSAUGA,MISSISSAUGA,P-484,OPEN,43.579123,-79.710581,0,0,0,0,0,0,0,0,0,0
343,NOT TO BE NAMED (P-482)* (EAST OF ARTESIAN AND COLOMBO CRES),3080,ARTESIAN,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-482,OPEN,43.544543,-79.713902,0,0,0,0,0,0,0,0,0,0
344,CREDITVIEW WETLANDS,1360,WILLOWVALE,GDNS,CITY OF MISSISSAUGA,MISSISSAUGA,P-424,OPEN,43.585101,-79.687456,0,0,0,0,0,0,0,0,0,0
345,HAWTHORNE VALLEY,5165,FAIRWIND,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-297,OPEN,43.605606,-79.663835,0,0,0,0,0,1,2,0,0,0
346,WAKEFIELD COMMON,795,RATHBURN,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-200,OPEN,43.581523,-79.658054,0,0,0,0,0,1,0,0,0,0
347,BRITANNIA WOODS COMMUNITY FOREST,5495,KENNEDY,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-199,OPEN,43.624436,-79.654872,0,0,0,0,0,0,0,0,0,0
348,PHEASANT RUN,4175,PHEASANT RUN,,CITY OF MISSISSAUGA,MISSISSAUGA,P-163,OPEN,43.544801,-79.698298,0,0,0,0,0,1,1,0,0,0
349,ARBOUR GREEN,4145,TREETOP,CRES,CITY OF MISSISSAUGA,MISSISSAUGA,P-162,OPEN,43.548298,-79.693802,0,0,0,0,0,1,1,0,0,0
350,DIVINER'S WAY,5715,NINTH LINE,,CITY OF MISSISSAUGA,MISSISSAUGA,P-421,OPEN,43.551753,-79.753246,0,0,0,0,0,0,0,0,0,0
351,MAY MEADOW,3925,MCDOWELL,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-420,OPEN,43.554294,-79.75537,0,0,0,0,0,1,0,0,0,0
352,GRAND PARK WOODS,3350,GRAND PARK,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-382,OPEN,43.573916,-79.641817,0,0,0,0,0,0,0,0,0,0
353,LAKEVIEW PARK,811,LAKEFRONT PROMENADE,,CITY OF MISSISSAUGA,MISSISSAUGA,P-381,OPEN,43.574144,-79.55555,1,0,0,0,0,0,1,0,0,0
354,FALLINGBROOK COMMUNITY PARK,5135,FALLINGBROOK,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-347,OPEN,43.586597,-79.681422,1,0,0,0,0,0,2,0,1,0
355,NOT TO BE NAMED (P-343) *(SOUTH OF AND ADJACENT TO GLEN RD),1180,GLEN,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-343,OPEN,43.528953,-79.618252,0,0,0,0,0,0,0,0,0,0
356,BARBERTON PARK,1930,BARBERTOWN,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-311,OPEN,43.571639,-79.698212,0,0,0,0,0,1,0,0,0,0
357,LISGAR GREEN,6140,OSPREY,BLVD,CITY OF MISSISSAUGA,MISSISSAUGA,P-310,OPEN,43.56472,-79.759287,0,0,0,0,1,1,0,1,0,0
358,CORAM PARK,1795,CORAM,CRES,CITY OF MISSISSAUGA,MISSISSAUGA,P-054,OPEN,43.616588,-79.572466,0,0,0,0,1,1,0,0,0,0
360,LAKE AQUITAINE TRAIL,2688,AQUITAINE,AVE,CITY OF MISSISSAUGA,MISSISSAUGA,P-130,OPEN,43.593284,-79.76342,0,0,0,0,0,0,0,0,0,0
361,CONSTITUTION PARK,3025,CONSTITUTION,BLVD,CITY OF MISSISSAUGA,MISSISSAUGA,P-129,OPEN,43.604198,-79.591527,0,0,0,0,0,0,0,0,0,0
362,BEDFORD PARK,1590,SOUTH PARADE,CRT,CITY OF MISSISSAUGA,MISSISSAUGA,P-393,OPEN,43.575174,-79.685149,0,0,0,0,0,0,0,0,0,0
363,CRAWFORD WALK,2430,CREDIT VALLEY,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-298,OPEN,43.552204,-79.704421,0,0,0,0,0,0,0,0,0,0
364,HINDHEAD PARK,1944,HINDHEAD,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-027,OPEN,43.51729,-79.632492,0,0,0,0,1,1,0,0,0,0
365,HURON PARK,830,PAISLEY,BLVD,CITY OF MISSISSAUGA,MISSISSAUGA,P-026,OPEN,43.558929,-79.632891,0,4,3,0,0,1,2,0,1,0
366,A.E. CROOKES PARK,140,LAKEFRONT PROMENADE,,CITY OF MISSISSAUGA,MISSISSAUGA,P-023,OPEN,43.56814,-79.561588,0,0,0,0,1,1,0,1,1,0
367,FLORADALE PARK,2424,CONFEDERATION,PKY,CITY OF MISSISSAUGA,MISSISSAUGA,P-022,OPEN,43.573917,-79.614576,0,0,0,0,0,1,0,0,1,0
368,LOYALIST CREEK HOLLOW,2225,ROBIN,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-251,OPEN,43.536271,-79.652093,0,0,0,0,0,0,0,0,0,0
369,CAROLYN CREEK,5240,CHARNWOOD,CRES,CITY OF MISSISSAUGA,MISSISSAUGA,P-250,OPEN,43.583134,-79.694487,0,0,0,0,0,0,0,0,0,0
370,STREETSVILLE VILLAGE SQUARE,7,MAIN,ST,CITY OF MISSISSAUGA,MISSISSAUGA,P-523,OPEN,43.58138,-79.712455,0,0,0,0,0,0,0,0,0,0
371,GOLDER COMMUNITY PARK,3200,DESTINATION,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-501,OPEN,43.548459,-79.721246,0,0,0,0,0,0,1,0,0,0
372,NOT YET NAMED (P-498)* (EAST OF CAMILLA AND PATHFINDER DR),2081,CAMILLA,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-498,OPEN,43.573956,-79.59796,0,0,0,0,0,0,0,0,0,0
373,NOT YET NAMED (P-496)* (NORTH OF CLARKSON RD N AND BIRCHWOOD DR),1325,CLARKSON,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-496,OPEN,43.524183,-79.631551,0,0,0,0,0,0,0,0,0,0
374,APPLEWOOD HILLS,1204,BLOOR,ST,CITY OF MISSISSAUGA,MISSISSAUGA,P-049,OPEN,43.623264,-79.618689,0,0,0,0,0,2,0,0,0,0
376,NOT YET NAMED (P-473)* (WEST OF THOMAS ST ALONG NINTH LINE),5570,NINTH LINE,,CITY OF MISSISSAUGA,MISSISSAUGA,P-473,OPEN,43.547616,-79.751068,0,0,0,0,0,0,0,0,0,0
377,NOT YET NAMED (P-472) *(WEST OF BRINWOOD GATE ALONG NINTH LINE),5640,NINTH LINE,,CITY OF MISSISSAUGA,MISSISSAUGA,P-472,OPEN,43.549791,-79.754082,0,0,0,0,0,0,0,0,0,0
378,JOHN C. PRICE PARK,3077,LITTLEJOHN,LANE,CITY OF MISSISSAUGA,MISSISSAUGA,P-202,OPEN,43.583658,-79.615157,0,0,0,0,0,1,0,0,0,0
379,DEER WOOD PARK,1100,RATHBURN,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-201,OPEN,43.573028,-79.665314,0,0,0,0,1,1,1,0,0,0
380,MCCAULEY GREEN,2815,FOLKWAY,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-165,OPEN,43.546246,-79.703036,0,0,0,0,0,1,0,0,0,0
381,TRELLIS TRAIL,2535,FOLKWAY,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-164,OPEN,43.551926,-79.692887,0,0,0,0,0,0,0,0,0,0
383,TRAFALGAR COMMON,3110,MCDOWELL,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-422,OPEN,43.563623,-79.742385,0,0,0,0,0,1,1,0,0,0
384,TOBIAS MASON PARK,3274,CACTUS,GATE,CITY OF MISSISSAUGA,MISSISSAUGA,P-385,OPEN,43.587048,-79.786025,0,0,0,0,0,1,2,1,1,0
385,CIVIC VIEW WALK,405,CENTRAL,PKY,CITY OF MISSISSAUGA,MISSISSAUGA,P-312,OPEN,43.583741,-79.644972,0,0,0,0,0,0,0,0,0,0
386,WOODLAND PARK,3500,ELLENGALE,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-056,OPEN,43.56488,-79.661011,0,0,0,0,0,1,1,0,0,0
389,LAKE WABUKAYNE TRAIL,2788,WINDWOOD,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-131,OPEN,43.574562,-79.7455,0,0,0,0,0,0,0,0,0,0
390,GLEN ERIN WOODLANDS,925,MCBRIDE,AVE,CITY OF MISSISSAUGA,MISSISSAUGA,P-095,OPEN,43.565777,-79.646246,0,0,0,0,0,1,0,0,0,0
391,ANAKA PARK,7666,ANAKA,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-094,OPEN,43.721895,-79.654662,0,0,0,0,0,1,1,0,0,0
392,SPRUCE PARK,280,ANGELENE,ST,CITY OF MISSISSAUGA,MISSISSAUGA,P-029,OPEN,43.565099,-79.579264,0,2,0,0,1,1,0,0,0,0
393,CAMILLA PARK,2180,CAMILLA,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-028,OPEN,43.576084,-79.604659,0,0,0,0,0,2,0,0,0,0
394,RON LENYK SPRINGFIELD PARK,3325,THE CREDIT WOODLANDS,,CITY OF MISSISSAUGA,MISSISSAUGA,P-025,OPEN,43.559088,-79.655111,1,0,0,0,0,1,0,0,0,0
395,WESTACRES PARK,2166,WESTFIELD,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-024,OPEN,43.591091,-79.583513,0,0,0,0,1,1,0,0,0,0
396,NOT TO BE NAMED (P-253) *(EAST OF PARKERHILL RD| BETWEEN DUNDAS AND HILLCREST),2615,MASON,HTS,CITY OF MISSISSAUGA,MISSISSAUGA,P-253,OPEN,43.574179,-79.622713,0,0,0,0,0,0,0,0,0,0
397,NOT TO BE NAMED (P-252) *(SW OF ONTARIO CRT| 2 SEPERATE PARCELS),44,ONTARIO,CRT,CITY OF MISSISSAUGA,MISSISSAUGA,P-252,OPEN,43.582893,-79.721479,0,0,0,0,0,0,0,0,0,0
398,NOT YET NAMED (P-526) *,0,DUNDAS,ST,CITY OF MISSISSAUGA,MISSISSAUGA,P-526,OPEN,43.564986,-79.635829,0,0,0,0,0,0,0,0,0,0
399,NOT YET NAMED (P-528)*,1184,SHAGBARK,CRES,CITY OF MISSISSAUGA,MISSISSAUGA,P-528,OPEN,43.569034,-79.664595,0,0,0,0,0,0,0,0,0,0
400,NOT YET NAMED (P-500)* (WEST OF DICKSON AND STAVEBANK RD),425,PREMIUM,WAY,CITY OF MISSISSAUGA,MISSISSAUGA,P-500,OPEN,43.559579,-79.611379,0,0,0,0,0,0,0,0,0,0
401,NOT YET NAMED (P-499)* (SW OF MINEOLA RD W AND MINAKI RD),264,MINEOLA,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-499,OPEN,43.555847,-79.59641,0,0,0,0,0,0,0,0,0,0
402,GLEN ERIN TRAIL,1640,THE COLLEGEWAY,,CITY OF MISSISSAUGA,MISSISSAUGA,P-079,OPEN,43.540868,-79.70478,0,0,0,0,0,2,0,0,0,0
403,MARY FIX PARK,76,PINETREE,WAY,CITY OF MISSISSAUGA,MISSISSAUGA,P-058,OPEN,43.565579,-79.599556,0,0,0,0,0,0,0,0,0,0
404,JIM MURRAY COMMUNITY PARK,5225,TENTH LINE WEST,,CITY OF MISSISSAUGA,MISSISSAUGA,P-477,OPEN,43.549045,-79.72689,0,0,0,0,0,1,1,0,0,0
405,MARCO MUZZO SENIOR MEMORIAL WOODS & PARK,5098,PERENNIAL,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-476,OPEN,43.542469,-79.7301,0,0,0,0,0,1,2,0,0,0
406,"CHARLES ""BUD"" BRENNAN PARK",6181,EDENWOOD,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-204,OPEN,43.570015,-79.748712,0,0,0,0,1,1,0,0,0,0
407,SAWGRASS PARK,1075,RATHBURN,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-203,OPEN,43.574691,-79.667112,0,0,0,0,0,1,0,0,0,0
408,J.C. SADDINGTON PARK,53,LAKE,ST,CITY OF MISSISSAUGA,MISSISSAUGA,P-167,OPEN,43.546415,-79.583522,0,0,0,0,0,1,0,0,0,0
409,TAFFEY PARK,2936-A,REMEA,CRT,CITY OF MISSISSAUGA,MISSISSAUGA,P-166,OPEN,43.543315,-79.706866,0,0,0,0,0,0,0,0,0,0
410,FLETCHER'S FLATS,6798,MAVIS,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-428,OPEN,43.634468,-79.716715,0,0,0,0,0,0,0,0,0,0
411,NOT TO BE NAMED (P-425) *(BETWEEN ERIN MILLS PKWY AND FIFTH LINE W| NORTH OF SHERIDAN PARK DR),2400,ERIN MILLS,PKY,CITY OF MISSISSAUGA,MISSISSAUGA,P-425,OPEN,43.531074,-79.65838,0,0,0,0,0,0,0,0,0,0
412,SILVER FOX FOREST,1711,DANTHORPE,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-383,OPEN,43.618158,-79.746347,0,0,0,0,0,1,0,0,0,0
413,NOT TO BE NAMED (P-349) *(BETWEEN LOYALIST DR AND WINSTON CHURCHILL| SOUTH OF THE COLLEGEWAY),3445,LOYALIST,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-349,OPEN,43.52937,-79.692312,0,0,0,0,0,0,0,0,0,0
414,LIVING ARTS CENTRE GROUNDS,4141,LIVING ARTS,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-348,OPEN,43.589706,-79.645715,0,0,0,0,0,0,0,0,0,0
415,STAGHORN WOODS,855,CEREMONIAL,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-313,OPEN,43.603617,-79.675519,0,0,0,0,1,1,1,0,0,0
416,MISSISSAUGA CELEBRATION SQUARE (SOUTH),301,BURNHAMTHORPE,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-351,OPEN,43.588013,-79.643013,0,0,0,0,0,0,0,0,0,0
417,MISSISSAUGA CELEBRATION SQUARE (NORTH),300,CITY CENTRE,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-350,OPEN,43.588786,-79.644273,0,0,0,0,0,0,0,0,1,0
418,ERIN WOODS,5303,ERIN MILLS,PKY,CITY OF MISSISSAUGA,MISSISSAUGA,P-315,OPEN,43.56698,-79.714765,0,0,0,0,0,0,0,0,0,0
419,NOT YET NAMED (P-314) *(SW OF STAVEBANK AND QEW),2140,STAVEBANK,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-314,OPEN,43.56017,-79.61789,0,0,0,0,0,0,0,0,0,0
420,PAUL COFFEY PARK,3430,DERRY,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-059,OPEN,43.709152,-79.62737,0,8,4,1,0,2,3,2,0,0
421,BRUCE REYNOLDS PARK,2173,SPRINGBANK,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-057,OPEN,43.535911,-79.642591,0,0,0,0,1,1,3,0,0,0
422,KOGAYDIWIN PARK,1585,FINFAR,CRT,CITY OF MISSISSAUGA,MISSISSAUGA,P-134,OPEN,43.517137,-79.650504,1,0,0,0,1,1,1,0,0,0
423,IROQUOIS FLATS,520,FERGO,AVE,CITY OF MISSISSAUGA,MISSISSAUGA,P-133,OPEN,43.56614,-79.624463,0,0,0,0,0,0,1,0,0,0
424,MILLWAY GATE PARK,2136,MILLWAY,GATE,CITY OF MISSISSAUGA,MISSISSAUGA,P-097,OPEN,43.540132,-79.675862,0,0,0,0,0,0,0,0,0,0
426,GREENFIELD PARK,1165,MISSISSAUGA VALLEY,BLVD,CITY OF MISSISSAUGA,MISSISSAUGA,P-032,OPEN,43.600762,-79.62069,0,0,0,0,0,2,2,0,0,0
427,CATTRICK BOULEVARD PARK,53,CATTRICK,ST,CITY OF MISSISSAUGA,MISSISSAUGA,P-030,OPEN,43.703338,-79.651745,0,0,0,0,0,1,0,0,0,0
428,SGT. DAVID YAKICHUK PARK,3111,CONFEDERATION,PKY,CITY OF MISSISSAUGA,MISSISSAUGA,P-263,OPEN,43.579062,-79.622782,0,0,0,0,0,1,0,0,0,0
429,NOT TO BE NAMED (P-262) *(EAST OF BRITANNIA RD E AND TOMKEN),1070,BRITANNIA,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-262,OPEN,43.645874,-79.653571,0,0,0,0,0,0,0,0,0,0
430,NOT TO BE NAMED (P-255) *(BETWEEN ALBERTSON CRES AND VEROU CRT),970,ALBERTSON,CRES,CITY OF MISSISSAUGA,MISSISSAUGA,P-255,OPEN,43.530841,-79.610334,0,0,0,0,0,0,0,0,0,0
431,RED OAK PLAIN,1985,BRITANNIA,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-254,OPEN,43.665761,-79.639333,0,0,0,0,0,0,0,0,0,0
432,COOKSVILLE COMMON,2326,PARK TOWERS,AVE,CITY OF MISSISSAUGA,MISSISSAUGA,P-293,OPEN,43.576474,-79.607839,0,0,0,0,0,0,0,0,0,0
433,NOT YET NAMED (P-527)*,0,CENTRAL,PKY,CITY OF MISSISSAUGA,MISSISSAUGA,P-527,OPEN,43.572704,-79.646435,0,0,0,0,0,0,0,0,0,0
434,MEADOW PARK,2203,TRUSCOTT,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-038,OPEN,43.517697,-79.643584,0,0,0,0,0,1,1,0,0,0
435,HORSESHOE PARK,7150,SAINT BARBARA,BLVD,CITY OF MISSISSAUGA,MISSISSAUGA,P-493,OPEN,43.641496,-79.719002,0,0,0,0,0,0,1,0,0,0
436,RED BRUSH PARK,5139,RED BRUSH,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-387,OPEN,43.622111,-79.644338,0,0,0,0,0,1,1,1,0,0
437,DON GOULD PARK,2441,FIFTH LINE WEST,,CITY OF MISSISSAUGA,MISSISSAUGA,P-386,OPEN,43.531838,-79.660143,0,0,0,0,0,1,0,0,0,0
438,VIMY PARK,29,STAVEBANK,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-111,OPEN,43.55337,-79.586922,0,0,0,0,0,0,0,0,0,0
439,J.J. PLAUS PARK,18,STAVEBANK,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-109,OPEN,43.55031,-79.583487,0,0,0,0,0,0,0,0,0,0
