FID,LANDMARKNA,STNO,STNAME,SUFFIX,OWNERSHIP,CITY,UNITID,SERVSTAT,LAT,LONG,nBaseball,nBasket,nBocce,nCricket,nIceRink,nPlaySite,nSoccer,nSoftball,nSprayPad,nTennis
96,NOT YET NAMED (P-457) *(WEST OF SARATOGA WAY ON NINTH LINE),6376,NINTH LINE,,CITY OF MISSISSAUGA,MISSISSAUGA,P-457,WIP,43.560486,-79.770535,0,0,0,0,0,0,0,0,0,0
97,CLARKE HALL GROUNDS,161,LAKESHORE,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-223,OPEN,43.548006,-79.588633,0,0,0,0,0,0,0,0,0,0
98,MEADOWVALE FOUR RINKS GROUNDS,2160,TORQUAY,MEWS,CITY OF MISSISSAUGA,MISSISSAUGA,P-222,OPEN,43.595264,-79.740898,0,0,0,0,0,0,0,0,0,0
99,BISHOPSTOKE PARK,4160,BISHOPSTOKE,LANE,CITY OF MISSISSAUGA,MISSISSAUGA,P-181,OPEN,43.599843,-79.636315,0,0,0,0,0,0,0,0,0,0
100,WOODINGTON GREEN,4175,WOODINGTON,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-180,OPEN,43.606213,-79.634603,0,0,2,0,0,1,1,0,0,0
101,WHITE WILLOW COMMON,6425,SPINNAKER,CIR,CITY OF MISSISSAUGA,MISSISSAUGA,P-442,OPEN,43.62602,-79.70912,0,0,0,0,0,1,0,0,0,0
102,SCOTT'S BRAE,855,BRASS WINDS,PL,CITY OF MISSISSAUGA,MISSISSAUGA,P-441,OPEN,43.623577,-79.715287,0,0,0,0,0,1,1,0,0,0
103,NOVO STAR PARK,640,NOVO STAR,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-401,OPEN,43.631255,-79.715648,0,0,0,0,0,1,1,1,0,0
104,CITY VIEW PARK,565,CENTRAL,PKY,CITY OF MISSISSAUGA,MISSISSAUGA,P-400,OPEN,43.578298,-79.643834,0,0,0,0,0,1,1,1,0,0
105,JOHNNY BOWER PARK,3919,PARKGATE,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-365,OPEN,43.558299,-79.760451,0,0,0,0,0,0,0,0,0,0
